username,Display Name,Profile pic,topmate_link,category,title,earnings,bookings,source,classification_method,earnings_rank,category_link
harish_kavire,Harish Kavire,https://static.topmate.io/tk21gUACqGnDeF4zVgFBeJ.jpg,https://topmate.io/harish_kavire,Consulting & Business Analysts,"I’m Harish, an IT professional & mentor with 5+ yrs in BFSI, BA & Testing. I guide professionals in career transitions, resume/job portal optimization & BA skill-building to help you grow with clarity & confidence.",456033,1047,categorizedusers,original,2,https://awards.topmate.io/consulting-business-analysts
aparna_debnath,Aparna Debnath,https://static.topmate.io/7CFx9YoRYZFBRXHHpmR66d.jpeg,https://topmate.io/aparna_debnath,Consulting & Business Analysts,Assistant Vice President at Barclays | Ex-JP Morgan | Product Owner | Lead Business Analyst | Career Coach | Finance | 170k Followers on LinkedIn!,307138,775,categorizedusers,original,3,https://awards.topmate.io/consulting-business-analysts
yashdua,Yash Dua,https://static.topmate.io/rTGYsU345ykMgnHd9GGKJ2.jpeg,https://topmate.io/yashdua,Consulting & Business Analysts,,203775,93,top400earners,llm_haiku,4,https://awards.topmate.io/consulting-business-analysts
mayank_kapoor12,Mayank Kapoor,https://topmate-profile-pics.s3.ap-south-1.amazonaws.com/profile_pic_fba7f8ad-28a2-43da-a046-d3b1a84962b5.jpeg,https://topmate.io/mayank_kapoor12,Consulting & Business Analysts,"Strategy Consulting •Bain & Company •Deloitte, KPMG,EY• Career Consultant •MBA, Chartered Accountant",152632,56,categorizedusers,original,5,https://awards.topmate.io/consulting-business-analysts
brie_g,Brie G,https://topmate-staging.s3.ap-south-1.amazonaws.com/aXHyZQoDxXgurAbXVYEDcc.jpeg,https://topmate.io/brie_g,Consulting & Business Analysts,,118026,27,top400earners,original,6,https://awards.topmate.io/consulting-business-analysts
tejas_bhale_114,Tejas Bhale,https://topmate-profile-pics.s3.ap-south-1.amazonaws.com/Tejas-Bhale-1736424636.jpeg,https://topmate.io/tejas_bhale_114,Consulting & Business Analysts,Techno-Functional Business Analyst BFSI & Supply Chain Specialist | Salesforce Expert | BA Career Coach | Guided 100+ Transitions to BA Roles | 8-Week BA Mastery Course | Helping Aspiring BAs Land High-Paying Jobs 💼,106463,676,categorizedusers,original,7,https://awards.topmate.io/consulting-business-analysts
anamitra_munsi,Anamitra Munsi,https://static.topmate.io/7xLLjGKVjkE3iuQMRxKcuV.jpeg,https://topmate.io/anamitra_munsi,Consulting & Business Analysts,"Anamitra is working as a Senior Consultant at FSG. He is a former Consultant in BCG, with an MBA from ISB and B.Tech from IIT Dhanbad",84358,90,categorizedusers,original,8,https://awards.topmate.io/consulting-business-analysts
kuldeep_rathod,Kuldeep Rathod,https://topmate-profile-pics.s3.ap-south-1.amazonaws.com/profile_pic_0df61850-6c65-4835-bdb6-d18c43172f08.jpeg,https://topmate.io/kuldeep_rathod,Consulting & Business Analysts,Business Requirement Analyst at Accenture | Business Analyst | Banking | E-commerce | CRM | HRM,62452,21,categorizedusers,original,9,https://awards.topmate.io/consulting-business-analysts
dr_kumar_anshul,Dr. Kumar Anshul,"https://topmate.io/cdn-cgi/image/width=640,quality=90/https://topmate-profile-pics.s3.ap-south-1.amazonaws.com/Dr.%20Kumar%20Anshul-.-1673250057.jpeg",https://topmate.io/dr_kumar_anshul,Consulting & Business Analysts,"Indian MBA Consultant | 250+ Candidates at ISB, IIM A/B/C",51285,223,categorizedusers,original,10,https://awards.topmate.io/consulting-business-analysts
raghav_bakshi,Raghav Bakshi,https://static.topmate.io/vDakkHTqJx5VJUJ3DeS2u2.jpeg,https://topmate.io/raghav_bakshi,Consulting & Business Analysts,Business Analyst @ Swiggy | Ex - Meesho | Ex - TheMathCompany,36370,172,categorizedusers,original,11,https://awards.topmate.io/consulting-business-analysts
soniapandey,Sonia Pandey,https://static.topmate.io/3pfkKkMgoUPtZLkf1RV6qR.png,https://topmate.io/soniapandey,Consulting & Business Analysts,Chief of Staff @EY India Office | Business Consulting PI | Strategy –Yes Bank (Y-EPEP ’23) | Winner – ASB Equity Research & Valuation ’22 | Co-founded-Greytics | IIM Visakhapatnam ’24 | JIMS Vasant Kunj ’19,32031,209,categorizedusers,original,12,https://awards.topmate.io/consulting-business-analysts
darpanjain,Darpan Jain,https://topmate-profile-pics.s3.ap-south-1.amazonaws.com/profile_pic_55f3f12c-da7c-4d65-b51b-b7819542b8f0.jpeg,https://topmate.io/darpanjain,Consulting & Business Analysts,"Senior Consultant @ Bain & Co | IIMA (IR 7) | SSCBS, DU (IR 6) | Global 25 Under 25 | Unacademy | Bajaj Capital | National Level Cricketer",31427,37,categorizedusers,original,13,https://awards.topmate.io/consulting-business-analysts
saksham_bhatia,Saksham Bhatia,https://static.topmate.io/tu2SCp3EL7jeLB3hqmkQVh.JPG,https://topmate.io/saksham_bhatia,Consulting & Business Analysts,"Consultant at McKinsey & Co. | ISB PGP | Ex Amazon, Meesho",31123,54,categorizedusers,original,14,https://awards.topmate.io/consulting-business-analysts
manish_kumar88,Manish Kumar,https://topmate-staging.s3.ap-south-1.amazonaws.com/iZhHAF4nUJGg3m3jBjoSTV.jpg,https://topmate.io/manish_kumar88,Consulting & Business Analysts,Sr Business Analyst at Motherson Technology | Ex Webkul Software | Top Rated BA's Mentor | Top BA Voice | CBAP Trained | 130K BA Post View Crossed | Helping BA's Community,30442,165,categorizedusers,original,15,https://awards.topmate.io/consulting-business-analysts
nishtha_sethi,Nishtha Sethi,https://topmate-profile-pics.s3.ap-south-1.amazonaws.com/Nishtha-Sethi-1661265284.jpeg,https://topmate.io/nishtha_sethi,Consulting & Business Analysts,Summer Associate @McKinsey & Company | MBA @IIM Bangalore | Founder @The Venture Folks,27324,16,categorizedusers,original,16,https://awards.topmate.io/consulting-business-analysts
ca_arjun_mehra_cfa,"CA Arjun Mehra, CFA",https://topmate-profile-pics.s3.ap-south-1.amazonaws.com/profile_pic_763082be-8921-4338-a4f4-381ce2b3223e.jpeg,https://topmate.io/ca_arjun_mehra_cfa,Consulting & Business Analysts,"BCG | CA (AIR 1, AIR 29) | CFA (90+ %ile) | Ex-KPMG Deal Advisory | Sri Venkateswara College, Delhi University | Public Speaker | Storyteller",26313,17,categorizedusers,original,17,https://awards.topmate.io/consulting-business-analysts
pragyagupta,Pragya Gupta,https://topmate-profile-pics.s3.ap-south-1.amazonaws.com/profile_pic_d0e0a07b-fe22-4c15-930d-a0656f43854f.jpeg,https://topmate.io/pragyagupta,Consulting & Business Analysts,Bain & Company | Climate and Social Impact | ex-Sattva Consulting | YouTube Creator,26280,97,categorizedusers,original,18,https://awards.topmate.io/consulting-business-analysts
himjosh,Himanshu Joshi,https://static.topmate.io/aCirqRqmS1feXboHVPXvZa.jpg,https://topmate.io/himjosh,Consulting & Business Analysts,"NITI Aayog | Ex-Accenture Strategy | XLRI Jamshedpur '11 | Strategy, Consulting, Innovation, Startup | Career & Life Coach | Mentor (1,000+ students mentored across Top B-School)",22170,11,categorizedusers,original,19,https://awards.topmate.io/consulting-business-analysts
shivonasinha,Shivona Sinha |,https://topmate-staging.s3.amazonaws.com/pWmYwJVJTQkVfsD1iteWJc.jpg,https://topmate.io/shivonasinha,Consulting & Business Analysts,Topmate Celebrity Creator 2024 | Ex- Bain & Co | Ex-McKinsey & Co,21300,32,categorizedusers,original,20,https://awards.topmate.io/consulting-business-analysts
ankurgarg,Ankur Garg,https://topmate-staging.s3.ap-south-1.amazonaws.com/oWzbg2Au3NHNszw3FQE6RU.png,https://topmate.io/ankurgarg,Consulting & Business Analysts,"Principal at BCG, Ex-McKinsey | IIMA-IITD alum | LinkedIn Top Voice 2023",20968,8,categorizedusers,original,21,https://awards.topmate.io/consulting-business-analysts
